ch_number,min_samples_split,min_samples_leaf,max_depth,f1-score
19.0,10,1,4,0.7038461538461538
13.0,2,2,3,0.6936263736263737
27.0,4,2,4,0.6833699633699634
48.0,10,3,3,0.6821428571428572
35.0,8,1,9,0.6721861471861471
0.0,4,2,2,0.6645604395604396
11.0,4,3,9,0.6311319073083779
18.0,10,2,10,0.6266666666666666
50.0,8,3,7,0.6116083916083916
26.0,4,1,5,0.6106959706959707
45.0,6,1,15,0.6095238095238095
51.0,8,4,5,0.5967032967032966
23.0,4,1,13,0.5962703962703964
10.0,10,4,11,0.5951048951048951
8.0,6,1,12,0.5891375291375291
29.0,8,4,8,0.5887866519445467
42.0,4,3,3,0.5838009049773756
20.0,6,4,12,0.5832967032967032
17.0,6,1,4,0.5827838827838828
30.0,4,3,8,0.5771028971028971
32.0,2,3,12,0.5690909090909091
16.0,4,3,7,0.5685714285714286
44.0,4,1,7,0.5620915032679739
47.0,10,3,11,0.5617582417582418
3.0,6,1,11,0.5607843137254902
14.0,10,2,6,0.5587878787878788
46.0,10,3,12,0.5587878787878788
9.0,8,3,4,0.5587217735824546
38.0,6,1,7,0.5517647058823529
52.0,6,1,9,0.5487912087912088
28.0,2,1,3,0.54640522875817
49.0,2,1,1,0.5408255933952528
21.0,4,3,7,0.5356843156843156
36.0,8,3,10,0.5354621848739496
41.0,2,1,1,0.5220733652312599
1.0,8,1,14,0.5207575757575758
4.0,2,1,1,0.5174668468786117
31.0,6,1,2,0.5164502164502164
53.0,6,1,4,0.5154578754578754
2.0,6,1,5,0.5150026444144091
40.0,8,4,13,0.5133313745078452
37.0,10,4,7,0.5104675716440422
25.0,10,3,3,0.49859943977591037
5.0,6,3,11,0.49658341658341654
7.0,4,3,15,0.4876190476190477
33.0,4,1,14,0.47932067932067934
22.0,6,1,14,0.47887667887667884
15.0,2,3,5,0.47582417582417574
6.0,10,2,11,0.4735353535353536
12.0,8,3,7,0.4714285714285714
34.0,10,3,4,0.45897435897435895
43.0,6,4,2,0.4470418470418471
24.0,10,1,11,0.43397435897435904
39.0,2,3,9,0.3977777777777778
