ch_number,subsample,n_estimators,min_samples_split,min_samples_leaf,max_depth,learning_rate,f1-score
13.0,0.9,1500,2,1,2,0.5,0.7128571428571429
18.0,0.7,1250,10,1,3,0.1,0.6865800865800866
19.0,0.6,500,8,1,5,0.1,0.6722655122655123
0.0,0.6,1000,4,2,5,0.5,0.6692640692640692
27.0,1.0,1000,10,1,5,0.1,0.654978354978355
31.0,0.6,1500,8,1,1,0.25,0.6545454545454545
50.0,1.0,250,4,2,5,1.0,0.6424242424242423
36.0,0.6,500,4,2,2,0.25,0.6377622377622377
2.0,0.8,100,10,4,1,1.0,0.6354072398190045
17.0,0.6,100,10,3,2,1.0,0.6353113553113552
3.0,0.6,1250,8,2,2,1.0,0.6344302756067461
51.0,0.9,1250,2,1,4,0.25,0.6316883116883117
35.0,1.0,1500,10,1,5,0.05,0.6304675716440421
32.0,0.7,250,2,1,5,1.0,0.6288158899923605
16.0,0.7,1000,8,4,4,1.0,0.6230769230769231
48.0,0.8,750,6,1,2,0.1,0.6206993006993007
14.0,1.0,1500,2,2,1,0.05,0.6142857142857142
20.0,1.0,1500,4,4,1,1.0,0.6135780885780886
41.0,0.7,1250,10,4,5,0.05,0.610922410922411
10.0,0.7,500,4,3,5,1.0,0.6084615384615384
29.0,1.0,100,6,1,4,0.25,0.6039743589743589
40.0,0.7,1500,8,3,4,1.0,0.601038961038961
26.0,1.0,750,4,1,1,1.0,0.5988344988344988
23.0,0.6,1000,4,2,5,0.25,0.5897435897435896
44.0,0.6,1000,2,3,1,0.5,0.5816183816183816
28.0,0.9,1000,2,3,1,1.0,0.5788461538461538
1.0,0.6,1500,2,4,5,0.5,0.577972027972028
47.0,0.8,100,10,3,4,1.0,0.5767565767565767
46.0,1.0,250,2,2,3,0.25,0.5749050949050949
34.0,0.6,1000,2,3,3,1.0,0.5748006379585326
52.0,0.9,1500,6,1,4,1.0,0.5715750915750916
15.0,0.7,500,4,3,3,1.0,0.5668997668997668
30.0,0.7,1000,8,1,2,0.5,0.5635897435897436
9.0,0.8,100,8,4,4,1.0,0.5613053613053613
45.0,1.0,1500,10,3,4,1.0,0.558974358974359
49.0,0.8,1500,8,4,2,1.0,0.5582638414217362
38.0,0.7,1000,10,1,5,1.0,0.5561085972850678
42.0,1.0,500,6,2,2,1.0,0.5470512820512821
11.0,0.7,1500,2,1,5,0.1,0.5465934065934065
22.0,1.0,250,4,1,2,1.0,0.546218487394958
39.0,0.6,500,6,1,5,1.0,0.5454462204462204
5.0,1.0,100,8,1,4,1.0,0.5411904761904762
7.0,0.6,1250,10,1,2,1.0,0.5318681318681319
43.0,0.8,1000,4,2,3,1.0,0.5293290043290042
12.0,0.9,100,6,2,3,1.0,0.525034965034965
25.0,0.6,100,2,3,3,0.25,0.521025641025641
4.0,0.7,250,6,1,5,1.0,0.5199267399267399
8.0,0.7,100,2,2,4,1.0,0.5154761904761905
37.0,0.7,100,2,1,2,1.0,0.5121678321678321
6.0,0.6,1000,8,4,5,1.0,0.5057460186871952
53.0,0.6,1000,6,4,5,1.0,0.505034965034965
21.0,1.0,1000,8,2,5,0.1,0.4905844155844156
24.0,0.8,1000,6,3,1,1.0,0.4804112554112554
33.0,0.8,1000,10,1,5,0.5,0.46087912087912086
