ch_number,tol,max_iter,l1_ratio,C,f1-score
40.0,0.001,400,0,1,0.781818181818182
22.0,0.0002,200,0.6,1,0.781437908496732
23.0,0.001,750,0.8,2,0.781437908496732
37.0,0.001,400,0,0.2,0.7810714285714286
38.0,0.001,100,0.2,0.5,0.7785858585858587
8.0,0.0001,100,0.8,1,0.7769934640522875
24.0,0.001,100,0.2,0.1,0.7769934640522875
25.0,0.001,100,0.8,2,0.7762766181741514
20.0,0.0002,100,1,0.5,0.7745692216280451
48.0,2e-05,100,0.8,5,0.7725490196078432
50.0,2e-05,750,0.4,10,0.7725490196078432
47.0,0.0001,400,0,1,0.7715983363042187
7.0,2e-05,100,0.8,0.2,0.7701994737288855
46.0,0.0005,100,0.2,0.2,0.7655648926237162
43.0,2e-05,200,0.2,10,0.7650623885918004
41.0,0.001,100,0.4,2,0.7648480467455799
44.0,0.001,200,0.8,10,0.7625490196078432
45.0,2e-05,200,0.6,5,0.762448009506833
33.0,0.001,750,1,0.1,0.7595825426944971
13.0,2e-05,100,1,0.1,0.7580782616076734
35.0,5e-05,100,0.4,0.1,0.7563892653835728
10.0,5e-05,100,0.8,0.1,0.755463882522706
12.0,0.0005,100,1,0.1,0.750123716153128
49.0,5e-05,100,0,1,0.748640101201771
30.0,5e-05,100,0.8,0.1,0.7463892653835729
34.0,0.0002,200,1,0.1,0.742245989304813
29.0,5e-05,100,1,1,0.7402372327230013
4.0,5e-05,400,1,0.1,0.7365681756573597
0.0,0.0002,100,0.4,0.1,0.7339277665089023
42.0,5e-05,1000,0.4,10,0.7327391562685681
15.0,0.0002,100,1,0.1,0.7292975841362938
11.0,0.0001,100,1,0.2,0.7260606060606062
5.0,0.0001,100,1,0.1,0.7240331850203929
9.0,0.0002,100,0.8,0.5,0.7193078465080036
31.0,0.001,1000,0.8,0.1,0.7185560675883256
39.0,0.001,400,1,0.1,0.7184121245828698
28.0,0.001,1000,0.6,0.1,0.7181566820276497
3.0,0.0001,100,1,0.1,0.7166011885366724
6.0,0.0001,400,1,0.1,0.7100440735734854
19.0,0.001,100,1,0.1,0.7044599217986315
36.0,0.0002,100,0.8,0.1,0.7002688172043011
32.0,0.001,200,1,0.1,0.6941176470588235
27.0,0.0001,100,0.2,10,0.693345170732606
2.0,5e-05,400,0.8,0.2,0.6912028831383669
21.0,0.0005,400,0.8,0.1,0.6909090909090909
1.0,2e-05,200,1,0.1,0.6898477866219802
16.0,5e-05,400,1,0.1,0.6861260454002391
14.0,0.001,200,1,0.1,0.6857910906298004
26.0,0.001,1000,1,0.1,0.6270139090118807
18.0,0.0001,100,0.8,1,0.6227359617682197
17.0,0.0005,400,0.8,0.1,0.5960591133004925
