ch_number,subsample,reg_alpha,n_estimators,max_depth,learning_rate,colsample_bytree,colsample_bynode,f1-score
5.0,0.9,0.25,1250,1,1.0,0.9,1.0,0.7059124209124209
3.0,0.6,0.05,500,5,0.05,0.6,0.7,0.7000154798761609
7.0,0.6,0.25,1250,5,0.1,0.8,0.7,0.6984935163996948
18.0,0.7,0.1,1500,3,0.1,0.8,0.6,0.6899012236473537
25.0,0.7,0.25,100,5,0.5,0.9,0.9,0.6855314757481941
50.0,0.6,0.2,1500,4,0.5,1.0,0.7,0.6839766081871345
53.0,0.8,0.1,750,3,0.05,0.7,0.8,0.6836780784014598
27.0,1.0,0.2,500,4,0.25,0.7,0.9,0.6751461988304094
24.0,0.6,0.3,1500,5,1.0,0.9,0.6,0.6711688311688311
10.0,0.6,0.3,750,5,0.05,0.7,1.0,0.6707142857142857
43.0,0.9,0.15,1250,3,0.5,1.0,1.0,0.6686842105263159
39.0,0.7,0.15,250,4,0.05,1.0,0.7,0.6618782249742002
48.0,0.9,0.3,250,3,0.5,0.7,0.6,0.6599999999999999
8.0,0.9,0.25,100,2,1.0,0.9,0.8,0.6565187478500172
6.0,0.6,0.15,100,5,1.0,0.6,0.6,0.6556998556998557
44.0,0.7,0.1,750,5,0.5,1.0,1.0,0.652296181630547
52.0,0.6,0.15,100,2,0.05,0.6,1.0,0.6521568627450981
22.0,1.0,0.15,1250,5,1.0,1.0,0.9,0.6503073861123397
40.0,0.6,0.15,500,5,1.0,1.0,1.0,0.645967860828542
20.0,0.6,0.25,100,5,1.0,0.7,1.0,0.6443107769423558
13.0,0.7,0.1,500,5,1.0,0.6,0.9,0.643248562582928
41.0,0.7,0.25,1000,5,1.0,0.6,0.7,0.642300738477209
33.0,0.9,0.15,1000,5,0.25,0.9,0.6,0.6410801513587892
55.0,0.8,0.25,100,2,0.5,0.6,0.8,0.6380284043441938
30.0,0.9,0.1,250,4,1.0,0.6,0.7,0.6335885167464115
49.0,0.9,0.2,750,4,0.25,0.8,0.9,0.6323600454674624
23.0,1.0,0.1,500,2,1.0,0.9,0.7,0.630015479876161
28.0,1.0,0.2,100,1,1.0,0.6,0.9,0.6226625386996903
42.0,0.6,0.15,1000,4,0.25,0.9,1.0,0.6218759018759019
12.0,0.7,0.3,750,1,1.0,1.0,0.7,0.6154462242562929
1.0,1.0,0.2,1000,2,1.0,0.6,0.9,0.6148194014447884
31.0,0.8,0.3,100,4,1.0,0.7,0.8,0.6075540472599296
21.0,0.6,0.3,250,4,1.0,0.6,0.9,0.6057477025898079
32.0,0.6,0.15,750,4,1.0,0.9,1.0,0.5983838383838384
51.0,0.7,0.1,500,1,0.25,0.7,0.6,0.5981620718462823
47.0,0.6,0.1,1500,5,0.5,0.9,0.7,0.5971792225662195
35.0,0.8,0.25,500,4,1.0,0.7,1.0,0.5946969696969697
0.0,1.0,0.1,1000,1,0.05,0.8,1.0,0.5942127153891861
2.0,0.7,0.2,1500,4,0.05,0.7,0.6,0.594066985645933
17.0,0.6,0.05,1250,1,0.5,0.6,0.6,0.5939348370927318
45.0,0.8,0.1,1500,2,0.5,0.6,0.6,0.5902017074772493
56.0,0.7,0.2,1500,1,0.25,0.8,1.0,0.5896411483253587
9.0,0.9,0.05,100,2,1.0,0.7,0.7,0.5882396241529368
58.0,0.6,0.05,500,5,0.5,1.0,0.8,0.5881527347781217
57.0,0.8,0.1,1500,5,1.0,1.0,0.6,0.5851158645276292
15.0,0.9,0.05,500,4,1.0,0.6,1.0,0.583431841636176
19.0,0.6,0.25,750,4,0.25,0.8,0.8,0.5820634920634922
4.0,0.6,0.3,100,4,1.0,0.7,0.7,0.5769327731092437
38.0,0.7,0.25,100,2,0.1,0.8,0.8,0.5749043062200956
29.0,0.6,0.3,1250,1,1.0,0.7,0.8,0.5694444444444444
34.0,0.7,0.3,100,5,1.0,0.9,0.6,0.5688413547237077
14.0,0.6,0.15,750,4,0.5,0.6,1.0,0.5682696938424492
46.0,0.7,0.3,250,5,0.25,0.8,0.8,0.5657867494824017
54.0,0.9,0.25,750,5,0.5,1.0,0.6,0.5587759952465836
26.0,0.9,0.25,1000,4,0.5,1.0,0.9,0.5529566563467492
36.0,0.7,0.3,250,5,1.0,0.7,0.7,0.551764705882353
16.0,0.7,0.25,1000,1,0.5,0.7,0.8,0.5427514865595362
11.0,0.6,0.1,1250,3,0.25,0.8,0.9,0.5297076023391812
37.0,1.0,0.3,1250,5,1.0,0.9,0.7,0.5000871161861874
